ringno,year,day,time,sex,tarsus,type,mass,wing
N03710,2008,26,-2,2,22.3,f,25.3,124
N03711,2008,26,-2, ,24.5,f,26.8,127
N03712,2008,26,-2, ,24.4,f,29.5,128
N03713,2008,26,-2, ,22.2,f,24.4,123
N03714,2008,26,-1, ,21.4,f,24.5,120
N03715,2008,26,-1,2,22.5,f,24.2,124
N03716,2008,26,-1, ,22.9,f,23.6,123
N03717,2008,26,-1, ,22,f,25.9,122
N03718,2008,26,-2,2,22.8,f,27,124
N03719,2008,26,-2, ,22.2,f,31.6,129
N03720,2008,26,0,2,22.3,f,23.3,123
N03721,2008,26,0,1,21.5,f,29.4,122
N03722,2008,26,0, ,21.9,f,24,124
N03723,2008,26,0, ,22.9,f,30.3,125
N03724,2008,26,0,2,23.4,f,27.5,124
N03725,2008,26,0, ,22.7,f,30.4,126
N03726,2008,26,0, ,22,f,27.7,124
N03727,2008,26,0, ,22.1,f,22,127
N03728,2008,26,1, ,23.1,f,25,128
N03729,2008,26,1, ,22.4,f,24.2,122
N03730,2008,26,2, ,23.6,f,26,123
N03731,2008,26,2, ,22.9,f,24.4,124
N03732,2008,26,2,2,20.7,f,28,120
N03733,2008,26,4, ,22.4,f,26,123
N03734,2008,26,4, ,23.4,f,28,125
N03735,2008,26,4, ,23.3,f,27,121
N03736,2008,26,4, ,21.9,f,26.5,125
N03737,2008,26,4, ,23.2,f,26.5,123
N03738,2008,27,-2, ,22.5,f,26.3,126
N03739,2008,27,-2, ,21.3,f,25.3,125
N03740,2008,27,-1, ,22.3,f,23.7,125
N03741,2008,27,-1, ,22.9,f,27.3,126
N03742,2008,27,-1, ,23.5,f,25.2,123
N03743,2008,27,-1, ,23,f,24,120
N03744,2008,27,0,2,22.5,f,27.9,125
N03745,2008,27,0, ,22.5,f,28.7,129
N03746,2008,27,0,1,22.7,f,24.3,124
N03747,2008,27,0, ,22.7,f,28.5,125
N03748,2008,27,0, ,23.6,f,28.3,124
N03749,2008,27,1, ,23.4,f,28.3,128
N03750,2008,27,1, ,22.5,f,24.4,121
N03751,2008,27,2, ,22,f,23.3,122
N03752,2008,27,2,2,22,f,27.5,123
N03753,2008,27,2,2,22.8,f,26.7,126
N03754,2008,27,3,1,21.7,f,25.9,125
N03755,2008,27,3, ,22.3,f,23.5,122
N03756,2008,27,3, ,22.4,f,27.9,125
E532565,2008,27,0,2,23,c,25.5,128
D21008,2008,28,2, ,22.2,f,28.5,125
D21009,2008,28,2,2,22.8,f,24.4,127
D21010,2008,28,2, ,21.8,f,28.7,127
