x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
-25.3009870648,247.4726508372,-471.0475546308,237.9853725433,71.440288797,-166.055014357,395.796162542,280.3379702382,236.0973008908,-266.6943552904,-95.6334732473,-254.8972261138,377.4557765573,106.1503724195,-262.4940001406,100.7734471932,122.1818705089,-189.8916051723,367.9204015061,-22.7739820257,-149.2285919376,349.7027577832,-223.928201478,-103.500275407,114.4753028639,-153.8215428591,466.5364851244,481.2673204578,-355.089744553,-295.0315647759,-491.8767306954,-289.1448601149,-267.5386862829,167.5583538599,-497.8236877359,115.3887109831
-233.6858836934,272.8484696709,103.7495466881,-179.8378885724,-303.0617162585,113.3763156831,146.1108531803,-359.7280997783,87.3418329284,-332.0275396109,-311.7817025632,-57.6773770154,-100.7565339096,69.3139983341,263.3414957672,-300.6683220156,-489.2974868417,491.794295609,-361.8050939403,237.6878289506,-84.9419496953,454.256712459,438.7199198827,470.8743374795,-13.5799581185,-278.6681232974,78.7130496465,-340.1373852976,6.6644321196,404.4924159534,27.7872662991,342.3376986757,477.3014616221,153.2585481182,77.2802387364,338.0703087896
441.3548489101,-235.7641933486,-281.364088878,464.6092695184,441.7363838293,-484.2575131916,-314.8855422623,49.8281237669,-45.8093765192,-386.8569252081,-115.0735062547,-383.6720352992,-415.062293876,-39.6255431697,-19.4746661,-332.4865554459,377.1387352608,-413.2659374736,141.7872258462,-180.6530542672,380.6547182612,-307.4262328446,-434.2991844751,-15.0023843162,-238.3522908203,424.8534725048,-69.7700628079,310.9665545635,9.1145988554,304.0420077741,20.5888198689,-330.2917652763,5.6731314398,-183.576665353,-151.0230391286,-52.313614171
-149.0470003337,-488.7955416925,113.7599376962,-311.999654863,263.410388492,83.9759125374,-281.3073545694,461.2804534845,81.8123966455,95.6589123234,-40.4166104272,-375.8963639848,48.027491197,13.4995500557,-310.7093819417,-101.5360690653,-429.2696067132,239.3895592541,17.9098197259,-235.8805690892,-336.1432915553,87.3060878366,-266.3929588161,-145.0694063678,13.05023022,-487.680374179,374.5577535592,414.8888951167,189.0669465065,34.0309520252,36.2996100448,-213.6976714246,348.3240664937,-373.0121119879,-244.2159038037,-234.9098683335
-32.9318614677,-186.6691387258,-36.7223373614,221.8021880835,138.4053602815,383.1665865146,67.2934628092,-259.4107626937,20.954974927,-260.6559186243,-281.967853196,309.8114784807,198.0488365516,-113.0581949838,-92.5808129832,483.2903370261,265.7205243595,420.3281691298,10.3441863321,-444.7226151824,439.7001112811,353.4228662029,-266.4569946937,-181.5100465901,335.2233218029,-444.0487306565,192.1709137969,37.6673871651,-351.824672427,-41.7851330712,87.5502200797,383.2386070862,282.5921978801,-214.565187227,463.3067725226,-130.1550064236
-485.7920315117,-348.2121131383,-192.3204078339,-170.6192311831,178.8952467032,-119.1735379398,1.2338734232,83.3132890984,190.2676750906,155.977555085,-33.7069584057,1.5251627192,-393.1986140087,-169.0800637007,-5.7206205092,-339.2979064956,-35.1410973817,455.5457667448,-145.2563228086,-452.9929379933,39.7776560858,-21.8810490333,-342.7079897374,360.6494520791,98.3760780655,-127.0157061517,-183.4463989362,75.7802920416,-117.26832157,-282.7279423364,456.5534777939,91.2762107328,-472.9241034947,-197.0994900912,-203.0666731298,484.8099327646
293.326494284,-400.9843273088,-329.0920564905,402.5840833783,-307.5833464973,50.3508262336,-262.2854537331,246.4544423856,-171.1793504655,-485.2265529335,487.1537247673,-366.5862535127,-489.1048087738,271.3719722815,-146.4650304988,420.0867852196,383.5799433291,357.7091572806,-323.0146672577,-452.3084848188,-456.9299416617,245.212639682,106.8177144043,435.3478285484,406.7487292923,247.029626742,-183.6244435981,-360.6271506287,71.3223679923,191.4748530835,294.3087685853,79.2784127407,-435.4072241113,348.8724073395,58.427031152,200.5476821214
-61.6043605842,-343.5883047059,-50.1920981333,230.6964029558,446.6969259083,246.3408154435,-231.6190311685,159.8190162331,-11.3407010213,-202.675037086,-407.3401107453,-215.1617431082,-384.5209768042,-51.2558282353,362.2351731174,398.6063865013,-171.8855528161,17.8131279536,92.4887852743,51.296023652,378.4708292224,288.8409672305,285.3307421319,-109.038266819,225.9003119543,-173.0575007387,-176.0210772045,-60.5195262469,-284.9566829391,117.8611856885,447.4798296578,432.287465781,110.7848673128,498.556798324,-16.8830589391,-395.1011030003
-384.4849071465,311.3640313968,421.4101941325,314.4501964562,-364.7588496096,250.0910004601,178.9452508092,78.2109932043,396.8417597935,-359.3459776603,-165.2405709028,-223.4141901135,355.9437552467,-456.7016386427,86.5613315254,377.5449604727,119.5163875818,385.2455676533,459.0187422,132.2738328017,-40.7663849182,-449.8575832695,-446.2108425796,393.8526329584,-293.4513026848,422.5876438431,-386.242040433,-151.6741928644,-266.9684742577,-107.0472975262,-206.4955257811,455.4446768016,-38.7302944437,244.1172460094,246.432190761,-464.2373058014
-37.8335081041,95.2820358798,-358.8600042276,-35.5417872779,498.0156687088,279.4506028295,-467.1643362381,492.1673089266,-280.536132399,472.1545642242,-198.2725439593,77.7089260519,346.7011298053,215.5596707016,-163.6964613572,398.1575327925,-288.0690637976,-177.7375224046,-271.992339287,126.3128467835,-160.6277269311,243.5983819887,-465.6308144331,481.2091276981,-36.0426078551,430.5372918025,430.0273326226,-188.1567467935,60.8549737372,-143.9264467917,429.7004942782,-341.3095185533,59.9448950961,-121.4404962957,-214.1640386544,-436.3983236253
